,Facility_City,Facility_State,Procedure_Heart_Attack_Cost,Procedure_Heart_Failure_Cost,Rating_Overall,Procedure_Pneumonia_Quality,Procedure_Pneumonia_Cost,Rating_Mortality,Rating_Safety,Rating_Readmission,Rating_Experience,Rating_Effectiveness,Rating_Timeliness,Procedure_Pneumonia_Value,Procedure_Heart_Failure_Value
3176,St James,MN,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0
3177,St Joseph,MI,22062.0,15387.0,4.0,2.0,17264.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
3178,St Maries,ID,0.0,0.0,3.0,2.0,12844.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
3179,St Paul,NE,0.0,0.0,3.0,2.0,18567.0,-1.0,-1.0,1.0,-1.0,1.0,2.0,2.0,-1.0
3180,St Peter,MN,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,2.0,1.0,2.0,-1.0,-1.0
3181,St Thomas,VI,19583.0,11716.0,3.0,2.0,13192.0,1.0,1.0,2.0,-1.0,1.0,-1.0,1.0,1.0
3182,Stafford,KS,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3183,Stafford,VA,23948.0,17569.0,3.0,2.0,15781.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0
3184,Stafford Springs,CT,0.0,16993.0,4.0,2.0,17841.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0
3185,Stamford,CT,25240.0,18618.0,3.0,3.0,18507.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0
3186,Standish,MI,0.0,17057.0,5.0,2.0,17382.0,1.0,-1.0,2.0,2.0,1.0,2.0,2.0,2.0
3187,Stanford,CA,21563.0,17352.0,4.0,2.0,18170.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0
3188,Stanford,KY,0.0,0.0,-1.0,2.0,15208.0,-1.0,-1.0,-1.0,1.0,1.0,2.0,1.0,-1.0
3189,Stanley,ND,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
3190,Stanley,WI,0.0,15479.0,4.0,2.0,17954.0,-1.0,-1.0,1.0,-1.0,1.0,2.0,2.0,2.0
3191,Stanton,TX,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3192,Staples,MN,0.0,0.0,4.0,2.0,15726.0,-1.0,-1.0,1.0,2.0,1.0,2.0,2.0,-1.0
